psyllid,sex,variety,plant_number,d_probes,d_walks,d_cleans,d_off,i_probes,i_walks,i_cleans,i_off,file,plant_size,mins_away
64,f,3LB,16,300,0,63.23,0,1,0,1,0,3LB_p16_t2.csv,17,11
65,f,3LB,16,300,0,110.76,0,1,0,1,0,3LB_p16_t3.csv,17,23
75,f,3LB,17,300,0,0,0,1,0,0,0,3LB_p17_t1.csv,16.5,62
76,f,3LB,17,2.1,289.8,0,281.61,1,1,0,1,3LB_p17_t2.csv,16.5,12
77,m,3LB,17,262,37.2,0,0,3,2,0,0,3LB_p17_t3.csv,16.5,18
78,m,3LB,18,289.2,10.8,0,7.09,1,1,0,1,3LB_p18_t1.csv,16.5,32
79,m,3LB,18,300,0,0,0,1,0,0,0,3LB_p18_t2.csv,16.5,41
80,m,3LB,18,300,0,158.63,0,1,0,1,0,3LB_p18_t3.csv,16.5,58
91,f,3LB,19,195.5,34.6,0,0,3,2,0,0,3LB_p19_t1.csv,14,51
92,m,3LB,19,300,0,92.66,0,1,0,2,0,3LB_p19_t2.csv,14,9
93,f,3LB,19,300,0,0,0,1,0,0,0,3LB_p19_t3.csv,14,23
14,m,3LB,2,0,13.8,0,183.16,0,1,0,2,3LB_p2_t1.csv,43,10
15,f,3LB,2,287.3,0,0,0,1,0,0,0,3LB_p2_t2.csv,43,24
109,m,3LB,20,300,0,0,0,1,0,0,0,3LB_p20_t1.csv,26,28
110,f,3LB,20,300,0,0,0,1,0,0,0,3LB_p20_t2.csv,26,43
111,f,3LB,20,300,0,0,0,1,0,0,0,3LB_p20_t3.csv,26,64
16,f,3LB,3,300,0,0,0,1,0,0,0,3LB_p3_t1.csv,23,77
20,f,3LB,4,249.8,51.7,0,0,5,4,0,0,3LB_p4_t1.csv,24.5,14
21,f,3LB,5,300,0,300,0,1,0,1,0,3LB_p5_t1.csv,35,38
22,f,3LB,6,300,0,0,0,1,0,0,0,3LB_p6_t1.csv,35,46
25,f,3LB,7,292.2,8,0,0,2,1,0,0,3LB_p7_t1.csv,28.5,22
26,m,3LB,7,300,0,0,0,1,0,0,0,3LB_p7_t2.csv,28.5,39
27,m,3LB,7,277.9,22.7,0,0,1,1,0,0,3LB_p7_t3.csv,28.5,59
28,m,3LB,8,278.5,21.8,0,0,1,1,0,0,3LB_p8_t1.csv,23,10
29,m,3LB,8,241.6,58.8,28.48,0,2,1,1,0,3LB_p8_t2.csv,23,65
32,m,3LB,9,272.5,28.4,0,0,1,1,0,0,3LB_p9_t1.csv,16.5,30
19,m,4LB,1,143.3,156.8,0,0,4,4,0,0,4LB_p1_t1.csv,32,10
69,f,4LB,10,300,0,0,0,1,0,0,0,4LB_p10_t1.csv,17.5,62
70,f,4LB,10,257.8,39.7,0,0,3,2,0,0,4LB_p10_t2.csv,17.5,10
71,m,4LB,10,300,0,97.88,0,1,0,1,0,4LB_p10_t3.csv,17.5,26
72,f,4LB,11,290.7,9.6,0,0,2,1,0,0,4LB_p11_t1.csv,17,36
73,m,4LB,11,180.8,119.4,0,0,2,1,0,0,4LB_p11_t2.csv,17,48
74,m,4LB,11,240,60.3,0,0,3,2,0,0,4LB_p11_t3.csv,17,56
81,f,4LB,12,237.9,58.7,0,0,3,2,0,0,4LB_p12_t1.csv,17,10
82,f,4LB,12,300,0,0,0,1,0,0,0,4LB_p12_t2.csv,17,18
83,f,4LB,12,203.6,96.7,0,0,3,2,0,0,4LB_p12_t3.csv,17,29
84,f,4LB,12,148.5,151.7,0,106.28,3,2,0,2,4LB_p12_t4.csv,17,39
85,f,4LB,13,290.7,0,0,0,1,0,0,0,4LB_p13_t1.csv,9,50
86,f,4LB,13,288.3,11.9,0,0,2,1,0,0,4LB_p13_t2.csv,9,63
87,m,4LB,13,300,0,0,0,1,0,0,0,4LB_p13_t3.csv,9,10
88,f,4LB,14,250.5,49.5,0,0,4,4,0,0,4LB_p14_t1.csv,11.5,25
89,f,4LB,14,264.6,35.4,0,0,1,1,0,0,4LB_p14_t2.csv,11.5,38
90,m,4LB,14,280.1,9.5,0,0,4,1,0,0,4LB_p14_t3.csv,11.5,44
94,m,4LB,15,207.5,92.5,0,19.12,2,2,0,1,4LB_p15_t1.csv,14,31
95,m,4LB,15,26.9,273.1,0,134.11,1,2,0,8,4LB_p15_t2.csv,14,8
96,m,4LB,15,300,0,0,0,1,0,0,0,4LB_p15_t3.csv,14,16
97,f,4LB,16,300,0,0,0,1,0,0,0,4LB_p16_t1.csv,13,27
98,f,4LB,16,300,0,0,0,1,0,0,0,4LB_p16_t2.csv,13,46
99,m,4LB,16,300,0,0,0,1,0,0,0,4LB_p16_t3.csv,13,65
103,f,4LB,17,290.9,9.1,0,0,1,1,0,0,4LB_p17_t1.csv,18.5,11
104,f,4LB,17,292.3,7.7,0,0,1,1,0,0,4LB_p17_t2.csv,18.5,24
105,m,4LB,17,300,0,120.51,0,1,0,3,0,4LB_p17_t3.csv,18.5,36
106,f,4LB,18,300,0,8.58,0,1,0,1,0,4LB_p18_t1.csv,22.5,42
107,f,4LB,18,262.2,37.8,0,0,3,3,0,0,4LB_p18_t2.csv,22.5,59
108,f,4LB,18,300,0,0,0,1,0,0,0,4LB_p18_t3.csv,22.5,13
23,m,4LB,2,300,0,262.23,0,1,0,1,0,4LB_p2_t1.csv,32,52
24,m,4LB,2,96.6,203.4,0,167.46,2,2,0,1,4LB_p2_t2.csv,32,10
30,m,4LB,3,277.2,7,0,0,2,1,0,0,4LB_p3_t1.csv,33,75
31,f,4LB,3,300,0,67.61,0,1,0,1,0,4LB_p3_t2.csv,33,10
47,f,4LB,4,300,0,80.95,0,1,0,1,0,4LB_p4_t1.csv,16,34
48,f,4LB,5,25.3,0,133.13,0,1,0,3,0,4LB_p5_t1.csv,21,46
49,m,4LB,6,264.9,15.4,289.12,0,2,1,2,0,4LB_p6_t1.csv,20.5,58
50,f,4LB,7,164.5,105.1,0,0,2,2,0,0,4LB_p7_t1.csv,25,78
