file,plant_number,i_probes,i_walks,i_cleans,i_off,psyllid,mins_away,sex,variety,plant_size
3LB_p7_t1.csv,7,2,1,0,0,25,22,f,3LB,28.5
3LB_p7_t2.csv,7,1,0,0,0,26,39,m,3LB,28.5
3LB_p7_t3.csv,7,1,1,0,0,27,59,m,3LB,28.5
3LB_p8_t1.csv,8,1,1,0,0,28,10,m,3LB,23
3LB_p8_t2.csv,8,2,1,1,0,29,65,m,3LB,23
3LB_p9_t1.csv,9,1,1,0,0,32,30,m,3LB,16.5
4LB_p1_t1.csv,1,4,4,0,0,19,10,m,4LB,32
4LB_p10_t1.csv,10,1,0,0,0,69,62,f,4LB,17.5
4LB_p10_t2.csv,10,3,2,0,0,70,10,f,4LB,17.5
4LB_p10_t3.csv,10,1,0,1,0,71,26,m,4LB,17.5
4LB_p11_t1.csv,11,2,1,0,0,72,36,f,4LB,17
4LB_p11_t2.csv,11,2,1,0,0,73,48,m,4LB,17
4LB_p11_t3.csv,11,3,2,0,0,74,56,m,4LB,17
4LB_p12_t1.csv,12,3,2,0,0,81,10,f,4LB,17
4LB_p12_t2.csv,12,1,0,0,0,82,18,f,4LB,17
4LB_p12_t3.csv,12,3,2,0,0,83,29,f,4LB,17
4LB_p12_t4.csv,12,3,2,0,2,84,39,f,4LB,17
4LB_p13_t1.csv,13,1,0,0,0,85,50,f,4LB,9
4LB_p13_t2.csv,13,2,1,0,0,86,63,f,4LB,9
4LB_p13_t3.csv,13,1,0,0,0,87,10,m,4LB,9
4LB_p14_t1.csv,14,4,4,0,0,88,25,f,4LB,11.5
4LB_p14_t2.csv,14,1,1,0,0,89,38,f,4LB,11.5
4LB_p14_t3.csv,14,4,1,0,0,90,44,m,4LB,11.5
4LB_p15_t1.csv,15,2,2,0,1,94,31,m,4LB,14
4LB_p15_t2.csv,15,1,2,0,8,95,8,m,4LB,14
4LB_p15_t3.csv,15,1,0,0,0,96,16,m,4LB,14
4LB_p16_t1.csv,16,1,0,0,0,97,27,f,4LB,13
4LB_p16_t2.csv,16,1,0,0,0,98,46,f,4LB,13
4LB_p16_t3.csv,16,1,0,0,0,99,65,m,4LB,13
