time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
36.634496,NO FEED,1
36.982288, Walk,2
48.715456, Probe/Feed,1
54.673648,NO FEED,1
58.183296, Probe/Feed,1
62.355328,NO FEED,1
64.324576, Probe/Feed,1
68.36624,NO FEED,1
70.721776, Probe/Feed,1
72.035376,NO FEED,1
79.703264, Probe/Feed,1
81.00432,NO FEED,1
85.91592, Probe/Feed,1
89.600832,STILL,2
128.270512,NO FEED,1
133.601536, Walk,2
140.897616, OFF Leaf,4
155.680336,ON Leaf,4
174.817904, Probe/Feed,1
174.817904,STILL,2
177.373936, Walk,2
177.373936,NO FEED,1
187.33896, Probe/Feed,1
187.33896,STILL,2
277.064928, Walk,2
277.064928,NO FEED,1
291.93352, Probe/Feed,1
291.93352,STILL,2
300.39465,END,0
