time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
84.003168,NO FEED,1
84.003168, Walk,2
95.936016, Probe/Feed,1
95.936016,STILL,2
300.214318,END,0
