time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
15.89368,NO FEED,1
15.89368, Walk,2
135.310464, Probe/Feed,1
135.310464,STILL,2
300.214318,END,0
