time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
88.067696, Cleaning,3
176.087488,NO CLEAN,3
240.788976,NO CLEAN,3
235.885136, Cleaning,3
300.259773,END,0
