time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
82.789776,NO FEED,1
83.100432, Walk,2
111.532448,STILL,2
112.298384, Probe/Feed,1
210.338,NO FEED,1
210.671888, Walk,2
224.84312, Probe/Feed,1
229.075536,NO FEED,1
237.17952, Probe/Feed,1
238.615216,NO FEED,1
244.030512, Probe/Feed,1
244.941168,NO FEED,1
250.948096, Probe/Feed,1
251.701504,NO FEED,1
259.017808, Probe/Feed,1
260.13472,NO FEED,1
275.922528, Probe/Feed,1
279.376336,NO FEED,1
297.880864, Probe/Feed,1
298.582,NO FEED,1
300.28865,END,0
