time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
9.526223,NO FEED,1
9.974479, Walk,2
27.303871, Probe/Feed,1
30.132319,STILL,2
300.32265,END,0
