time,code,class
0, Probe/Feed,1
0,STILL,2
0,NO CLEAN,3
0,ON Leaf,4
8.680129,NO FEED,1
8.680129, Walk,2
13.022299,STILL,2
14.949805, Walk,2
16.164882, Probe/Feed,1
16.164882,STILL,2
17.432275,NO FEED,1
17.432275, Walk,2
19.682146, Probe/Feed,1
19.682146,STILL,2
21.385693,NO FEED,1
21.385693, Walk,2
24.828214,STILL,2
24.828214, Probe/Feed,1
30.501353,NO FEED,1
30.501353, Walk,2
34.439389, Probe/Feed,1
34.439389,STILL,2
37.042563,NO FEED,1
37.042563, Walk,2
44.752565,STILL,2
44.752565, Probe/Feed,1
46.927333,NO FEED,1
46.927333, Walk,2
53.519853,STILL,2
53.519853, Probe/Feed,1
55.102311,NO FEED,1
55.102311, Walk,2
57.944989, Probe/Feed,1
57.944989,STILL,2
58.654764, Walk,2
66.042078,STILL,2
70.279523,NO FEED,1
70.856812, Walk,2
88.257208, Probe/Feed,1
88.257208,STILL,2
89.23971,NO FEED,1
89.23971, Walk,2
93.327241, Probe/Feed,1
93.327241,STILL,2
94.144504,NO FEED,1
94.144504, Walk,2
103.346475,STILL,2
103.346475, Probe/Feed,1
104.719521,NO FEED,1
104.719521, Walk,2
107.981037, Probe/Feed,1
107.981037,STILL,2
108.84323,NO FEED,1
108.946672, Walk,2
124.698979, Probe/Feed,1
124.810551,STILL,2
125.423214,NO FEED,1
125.472999, Walk,2
130.67894, Probe/Feed,1
130.740764,STILL,2
131.565632, Walk,2
131.654527,NO FEED,1
138.537006, Probe/Feed,1
138.571616,STILL,2
144.565147,NO FEED,1
144.625029, Walk,2
150.581119, Probe/Feed,1
150.625759,STILL,2
151.235588, Walk,2
151.295536,NO FEED,1
153.065449, Probe/Feed,1
153.078288,STILL,2
153.468711, Walk,2
153.5708,NO FEED,1
156.445467, Probe/Feed,1
156.554779,STILL,2
159.165768, Walk,2
159.278202,NO FEED,1
165.249808, Probe/Feed,1
165.324753,STILL,2
166.402083, Walk,2
166.453199,NO FEED,1
185.548141, Probe/Feed,1
185.646658,STILL,2
187.47131, Walk,2
187.576808,NO FEED,1
190.078145, Probe/Feed,1
190.197438,STILL,2
192.808915, Walk,2
192.928383,NO FEED,1
196.330706, Probe/Feed,1
196.447335,STILL,2
197.417252, Walk,2
197.511107,NO FEED,1
199.940624, Probe/Feed,1
200.099491,STILL,2
200.400616, Walk,2
200.517045,NO FEED,1
202.117104, Probe/Feed,1
202.228746,STILL,2
204.342941, Walk,2
204.402988,NO FEED,1
204.7552,STILL,2
204.970547, Probe/Feed,1
215.643206,NO FEED,1
221.85338, Walk,2
225.100685, Probe/Feed,1
225.100685,STILL,2
228.249126,NO FEED,1
228.339634, Walk,2
229.361309, Probe/Feed,1
229.475771,STILL,2
300.305227,END,0
